Subject,Sex,NativeLanguage,Word,Length,Class,RT
A1,F,English,owl,3,animal,6.340359
A1,F,English,mole,4,animal,6.308098
A1,F,English,cherry,6,plant,6.349139
A1,F,English,pear,4,plant,6.186209
A1,F,English,dog,3,animal,6.025866
A1,F,English,blackberry,10,plant,6.180017
A1,F,English,strawberry,10,plant,6.035481
A1,F,English,squirrel,8,animal,6.263398
A1,F,English,radish,6,plant,6.459904
A1,F,English,almond,6,plant,6.184149
A1,F,English,whale,5,animal,6.137727
A1,F,English,reindeer,8,animal,6.242223
A1,F,English,blueberry,9,plant,6.003887
A1,F,English,lemon,5,plant,6.035481
A1,F,English,bee,3,animal,6.322565
A1,F,English,goat,4,animal,5.988961
A1,F,English,eggplant,8,plant,6.285998
A1,F,English,tomato,6,plant,6.381816
A1,F,English,peanut,6,plant,5.958425
A1,F,English,bat,3,animal,6.124683
A1,F,English,mustard,7,plant,6.741701
A1,F,English,magpie,6,animal,6.821107
A1,F,English,stork,5,animal,6.40688
A1,F,English,goose,5,animal,6.421622
A1,F,English,squid,5,animal,6.320768
A1,F,English,carrot,6,plant,6.20859
A1,F,English,crocodile,9,animal,6.214608
A1,F,English,tortoise,8,animal,7.114769
A1,F,English,spider,6,animal,6.09131
A1,F,English,grape,5,plant,6.20859
A1,F,English,fox,3,animal,6.36647
A1,F,English,potato,6,plant,6.582025
A1,F,English,frog,4,animal,6.514713
A1,F,English,beetroot,8,plant,6.352629
A1,F,English,asparagus,9,plant,6.278521
A1,F,English,mouse,5,animal,5.988961
A1,F,English,dolphin,7,animal,6.079933
A1,F,English,pineapple,9,plant,6.126869
A1,F,English,lettuce,7,plant,6.284134
A1,F,English,sheep,5,animal,6.089045
A1,F,English,cucumber,8,plant,6.383507
A1,F,English,gherkin,7,plant,6.22059
A1,F,English,gull,4,animal,6.381816
A1,F,English,pig,3,animal,6.202536
A1,F,English,camel,5,animal,6.356108
A1,F,English,shark,5,animal,6.107023
A1,F,English,vulture,7,animal,6.517671
A1,F,English,snake,5,animal,6.317165
A1,F,English,donkey,6,animal,6.086775
A1,F,English,broccoli,8,plant,6.163315
A1,F,English,apricot,7,plant,6.673298
A1,F,English,leek,4,plant,6.434547
A1,F,English,clove,5,plant,6.33328
A1,F,English,banana,6,plant,6.202536
A1,F,English,lion,4,animal,6.111467
A1,F,English,elephant,8,animal,6.326149
A1,F,English,hedgehog,8,animal,6.903747
A1,F,English,eagle,5,animal,6.306275
A1,F,English,apple,5,plant,6.118097
A1,F,English,kiwi,4,plant,6.472346
A1,F,English,wasp,4,animal,6.697034
A1,F,English,cat,3,animal,6.148468
A1,F,English,paprika,7,plant,6.59987
A1,F,English,ant,3,animal,6.775366
A1,F,English,bunny,5,animal,6.36647
A1,F,English,beaver,6,animal,6.274762
A1,F,English,horse,5,animal,6.023448
A1,F,English,mushroom,8,plant,6.139885
A1,F,English,woodpecker,10,animal,6.293419
A1,F,English,moose,5,animal,6.021023
A1,F,English,orange,6,plant,6.188264
A1,F,English,avocado,7,plant,6.194405
A1,F,English,chicken,7,animal,5.899897
A1,F,English,butterfly,9,animal,6.364751
A1,F,English,olive,5,plant,5.97381
A1,F,English,swan,4,animal,6.037871
A1,F,English,walnut,6,plant,5.97381
A1,F,English,melon,5,plant,6.282267
A1,F,English,monkey,6,animal,6.040255
A2,M,English,dog,3,animal,6.329721
A2,M,English,apricot,7,plant,6.20859
A2,M,English,beaver,6,animal,6.270988
A2,M,English,dolphin,7,animal,6.45047
A2,M,English,walnut,6,plant,6.36647
A2,M,English,camel,5,animal,6.293419
A2,M,English,olive,5,plant,6.198479
A2,M,English,whale,5,animal,6.154858
A2,M,English,donkey,6,animal,6.20859
A2,M,English,lettuce,7,plant,6.156979
A2,M,English,gull,4,animal,6.146329
A2,M,English,goat,4,animal,5.942799
A2,M,English,hedgehog,8,animal,5.993961
A2,M,English,spider,6,animal,6.167516
A2,M,English,squid,5,animal,6.013715
A2,M,English,mustard,7,plant,6.161207
A2,M,English,radish,6,plant,6.146329
A2,M,English,lemon,5,plant,6.2106
A2,M,English,chicken,7,animal,6.163315
A2,M,English,lion,4,animal,6.831954
A2,M,English,paprika,7,plant,6.154858
A2,M,English,moose,5,animal,6.2106
A2,M,English,cherry,6,plant,6.22059
A2,M,English,reindeer,8,animal,6.253829
A2,M,English,owl,3,animal,6.082219
A2,M,English,asparagus,9,plant,6.289716
A2,M,English,mouse,5,animal,6.068426
A2,M,English,kiwi,4,plant,6.152733
A2,M,English,bee,3,animal,6.192362
